puzzle_state,target_move,manhattan_distance
8 0 3 2 5 6 1 4 7,left,11
8 0 3 4 5 1 7 6 2,left,11
1 2 3 7 5 6 0 8 4,up,4
4 2 0 7 5 3 1 8 6,down,6
1 3 0 4 2 8 7 6 5,left,8
2 6 8 5 3 0 1 4 7,up,15
1 2 6 3 4 8 7 0 5,right,9
4 1 5 6 2 8 7 0 3,up,11
4 1 2 5 6 0 7 3 8,left,9
2 3 6 1 5 4 7 0 8,right,7
4 1 3 7 8 5 6 2 0,up,10
0 1 2 5 6 3 4 7 8,right,8
4 1 3 0 8 6 7 2 5,up,7
4 1 6 7 2 0 3 8 5,up,11
4 2 3 5 1 6 7 0 8,right,5
2 3 8 0 4 5 1 7 6,down,11
4 3 5 2 1 6 0 7 8,right,10
1 3 8 4 0 2 7 6 5,down,10
1 3 0 4 7 2 8 6 5,down,10
5 6 2 3 0 8 4 1 7,up,16
0 3 5 2 1 8 4 7 6,down,12
1 2 3 7 4 0 5 8 6,down,5
4 1 5 0 6 2 7 3 8,up,11
0 1 5 4 6 2 7 3 8,right,10
1 4 2 0 6 3 8 5 7,up,9
5 0 2 1 7 4 8 6 3,left,13
7 0 2 1 4 6 8 3 5,right,11
2 3 0 1 7 5 4 6 8,left,10
7 4 3 5 1 2 0 8 6,up,10
5 6 1 2 3 8 4 7 0,up,14
1 2 3 6 5 7 0 4 8,right,8
2 6 5 4 1 7 8 3 0,up,14
2 8 3 7 0 5 1 4 6,up,10
3 8 5 0 6 7 2 1 4,down,19
2 3 5 0 1 6 7 4 8,right,9
1 8 5 0 4 2 7 6 3,right,11
3 4 8 7 1 2 6 0 5,left,17
4 1 2 8 6 3 7 0 5,right,9
1 3 0 5 2 4 8 7 6,left,8
2 5 3 4 8 6 0 1 7,right,8
0 2 6 1 5 8 4 7 3,down,8
0 4 6 5 2 1 7 3 8,right,12
1 3 5 7 8 6 4 2 0,up,8
4 8 3 2 5 6 0 1 7,right,10
1 3 5 7 4 6 0 2 8,up,8
1 0 2 7 8 3 5 6 4,right,11
2 3 8 1 6 4 0 7 5,right,12
0 1 3 4 7 6 5 2 8,right,8
7 5 1 6 3 2 0 4 8,right,14
1 2 3 7 0 4 6 5 8,down,8
5 1 8 3 4 2 7 6 0,left,14
1 2 4 5 8 0 7 6 3,up,9
2 3 7 1 8 6 5 0 4,up,13
5 0 2 1 3 6 7 8 4,down,9
4 2 1 8 6 7 3 0 5,left,15
6 2 5 1 0 8 4 7 3,right,12
1 3 6 2 0 8 7 5 4,down,10
3 5 2 1 0 8 4 7 6,up,10
8 3 0 1 4 5 7 6 2,left,12
1 3 8 5 6 7 2 0 4,left,15
5 1 3 4 2 6 7 0 8,right,5
6 4 2 1 5 3 7 0 8,right,9
2 1 8 4 6 3 7 5 0,up,8
2 0 3 1 4 5 7 8 6,left,5
4 1 3 7 2 6 5 8 0,up,6
1 5 2 3 7 4 8 0 6,up,11
2 3 0 5 1 6 4 8 7,left,8
1 3 0 4 6 8 7 5 2,left,8
1 6 2 4 0 3 7 5 8,up,6
1 7 0 8 3 2 4 6 5,down,14
0 4 1 7 6 3 8 5 2,right,12
3 2 5 4 1 6 7 0 8,right,7
7 1 2 5 0 3 8 4 6,down,10
3 2 5 4 1 0 7 8 6,up,7
1 7 5 8 3 6 0 4 2,up,14
0 2 3 1 7 8 6 4 5,down,12
0 1 8 4 2 5 3 7 6,right,12
3 0 2 4 5 6 7 8 1,left,7
1 3 0 8 2 7 4 6 5,left,12
1 0 8 6 2 3 4 5 7,down,11
1 2 6 5 7 4 3 8 0,up,10
2 3 5 1 6 7 4 0 8,right,11
0 7 2 1 4 5 8 6 3,down,12
3 0 6 5 1 4 2 7 8,down,13
5 3 6 2 8 7 4 0 1,up,15
1 2 6 3 5 0 4 7 8,up,7
